acc,assay_type,organism
DRR121517,WGS,mouse gut metagenome
SRR29291556,WGS,gut metagenome
ERR1913692,WGS,bacterium
ERR2402811,WGS,gut metagenome
SRR24755503,WGS,metagenome
ERR4371230,WGS,mouse gut metagenome
SRR23946457,WGS,gut metagenome
SRR24164678,WGS,gut metagenome
SRR19759416,WGS,Mus musculus
ERR6877465,WGS,chicken gut metagenome
SRR16945622,WGS,feces metagenome
ERR4304450,WGS,mixed sample
SRR20950780,WGS,metagenome
ERR4369976,WGS,mouse gut metagenome
SRR23946455,WGS,gut metagenome
SRR13102914,WGS,mouse gut metagenome
SRR6323341,WGS,chicken gut metagenome
SRR25204133,WGS,Mus musculus
SRR31305020,WGS,Streptococcaceae
ERR4303199,WGS,mixed sample
ERR4096595,WGS,chicken gut metagenome
SRR10800398,WGS,gut metagenome
SRR13008591,WGA,gut metagenome
SRR13765887,WGS,metagenome
ERR4368483,WGS,mouse gut metagenome
SRR29291427,WGS,gut metagenome
SRR27783255,WGS,gut metagenome
SRR5190273,WGS,bovine gut metagenome
ERR10017636,WGS,mouse gut metagenome
SRR21588865,WGS,metagenome
ERR1913694,WGS,bacterium
ERR11768899,WGS,poultry litter metagenome
SRR14214855,WGS,mouse gut metagenome
ERR4369831,WGS,mouse gut metagenome
SRR8638181,WGS,gut metagenome
SRR29134467,WGS,manure metagenome
SRR14944324,WGS,mouse gut metagenome
SRR26926514,WGS,chicken gut metagenome
SRR14842337,WGS,gut metagenome
SRR7702466,WGS,mouse gut metagenome
SRR21058631,OTHER,mouse gut metagenome
SRR20950834,WGS,metagenome
SRR25204171,WGS,Mus musculus
SRR13741612,WGS,mouse gut metagenome
SRR31203350,WGS,mouse gut metagenome
SRR11489751,WGS,pig gut metagenome
ERR4370928,WGS,mouse gut metagenome
ERR6352821,WGS,chicken gut metagenome
ERR2241651,WGS,metagenome
SRR9113690,WGS,chicken gut metagenome
SRR13089961,WGS,metagenome
ERR4369347,WGS,mouse gut metagenome
SRR21058635,OTHER,mouse gut metagenome
ERR4370546,WGS,mouse gut metagenome
SRR25204172,WGS,Mus musculus
SRR6323483,WGS,chicken gut metagenome
SRR29217284,OTHER,chicken gut metagenome
ERR6748006,WGS,chicken gut metagenome
ERR10732729,RNA-Seq,Mus musculus
ERR982835,WGS,mouse gut metagenome
SRR23918743,WGS,chicken gut metagenome
ERR4133680,WGS,mouse gut metagenome
SRR26926534,WGS,chicken gut metagenome
ERR2167748,WGS,gut metagenome
SRR20982378,OTHER,Mus musculus
ERR6760088,WGS,Mus musculus
SRR12961052,OTHER,mouse gut metagenome
SRR26903484,WGS,bovine metagenome
ERR4368992,WGS,mouse gut metagenome
SRR8638183,WGS,gut metagenome
SRR23153031,WGS,gut metagenome
ERR4368254,WGS,mouse gut metagenome
SRR29855671,WGS,feces metagenome
SRR5574514,WGS,mouse gut metagenome
SRR23946459,WGS,gut metagenome
SRR25391112,OTHER,mouse gut metagenome
SRR8960619,WGS,synthetic metagenome
SRR27114635,WGS,chicken gut metagenome
ERR982827,WGS,mouse gut metagenome
SRR19759483,WGS,Mus musculus
SRR15444010,RNA-Seq,Mus musculus
ERR6823375,WGS,Gallus gallus
ERR11768821,WGS,poultry litter metagenome
ERR4370540,WGS,mouse gut metagenome
ERR6769735,WGS,chicken gut metagenome
ERR11768936,WGS,poultry litter metagenome
ERR12355469,WGS,Macaca mulatta
ERR4129512,WGS,mouse gut metagenome
SRR19185104,WGS,Actinomycetota
ERR4371082,WGS,mouse gut metagenome
ERR2821864,OTHER,chicken gut metagenome
SRR25957106,WGS,canine metagenome
ERR4303151,WGS,mixed sample
SRR18654543,WGS,compost metagenome
SRR31127823,WGS,bovine gut metagenome
SRR26458525,WGS,dust metagenome
SRR30769972,WGS,metagenome
ERR4096621,WGS,chicken gut metagenome
SRR26458539,WGS,dust metagenome
SRR21588742,WGS,metagenome
ERR1914420,WGS,bacterium
SRR6323521,WGS,chicken gut metagenome
SRR19599924,WGS,Lachnospiraceae bacterium A4
SRR4425701,OTHER,feces metagenome
ERR6769675,WGS,chicken gut metagenome
SRR5057083,WGS,human gut metagenome
SRR15730543,WGS,mouse gut metagenome
SRR15459193,WGS,mouse gut metagenome
SRR24889465,OTHER,mouse gut metagenome
ERR1915119,WGS,bacterium
SRR21588701,WGS,metagenome
SRR15604633,WGS,feces metagenome
ERR2167868,WGS,gut metagenome
SRR17071708,OTHER,mouse gut metagenome
ERR6760082,WGS,Mus musculus
ERR1915956,WGS,bacterium
SRR28527764,WGS,mouse gut metagenome
ERR4371188,WGS,mouse gut metagenome
ERR10732730,RNA-Seq,Mus musculus
SRR17182789,WGS,metagenome
ERR6769792,WGS,chicken gut metagenome
SRR9113731,WGS,chicken gut metagenome
DRR121586,WGS,mouse gut metagenome
ERR1913613,WGS,bacterium
ERR4183448,WGS,Canis lupus familiaris
SRR23946413,WGS,gut metagenome
SRR24098274,OTHER,chicken gut metagenome
SRR26458516,WGS,dust metagenome
SRR25204224,WGS,Mus musculus
SRR14074353,WGS,human gut metagenome
ERR6748669,WGS,chicken gut metagenome
ERR4367344,WGS,mouse gut metagenome
SRR14842414,WGS,gut metagenome
SRR6338728,WGS,rat gut metagenome
SRR25685069,WGS,air metagenome
SRR20853677,OTHER,feces metagenome
ERR6760098,WGS,Mus musculus
DRR121574,WGS,mouse gut metagenome
SRR29291451,WGS,gut metagenome
SRR15634014,WGS,gut metagenome
ERR1974346,WGS,metagenome
ERR2752430,WGS,feces metagenome
ERR3199668,WGS,metagenome
ERR2241730,WGS,metagenome
ERR3357543,WGS,mouse gut metagenome
SRR20950778,WGS,metagenome
SRR26717876,WGS,chicken gut metagenome
SRR27114629,WGS,chicken gut metagenome
SRR31320891,WGS,gut metagenome
ERR4370573,WGS,mouse gut metagenome
SRR26802908,OTHER,Enterococcus faecium
ERR1914417,WGS,bacterium
SRR26926556,WGS,chicken gut metagenome
SRR26926584,WGS,chicken gut metagenome
SRR12711214,WGS,gut metagenome
ERR1913620,WGS,bacterium
SRR20950764,WGS,metagenome
ERR2026938,WGS,Rattus norvegicus
ERR4371125,WGS,mouse gut metagenome
SRR17071707,OTHER,mouse gut metagenome
ERR1913428,WGS,bacterium
ERR2241664,WGS,metagenome
ERR4368987,WGS,mouse gut metagenome
SRR27911157,OTHER,anaerobic digester metagenome
SRR4425686,OTHER,feces metagenome
SRR14721817,WGS,metagenome
ERR8609954,OTHER,metagenome
ERR6769743,WGS,chicken gut metagenome
ERR11768829,WGS,poultry litter metagenome
DRR121555,WGS,mouse gut metagenome
SRR26926598,WGS,chicken gut metagenome
SRR22360838,WGS,chicken gut metagenome
SRR29267345,WGS,mouse gut metagenome
ERR2241794,WGS,metagenome
SRR25185825,WGS,mouse gut metagenome
SRR26926508,WGS,chicken gut metagenome
SRR22535185,OTHER,bovine gut metagenome
SRR17182799,WGS,metagenome
SRR12730723,WGS,chicken gut metagenome
SRR18243809,WGS,mouse gut metagenome
SRR21707384,WGS,feces metagenome
ERR6760102,WGS,Mus musculus
SRR25358510,WGS,gut metagenome
ERR3199642,WGS,metagenome
SRR27644805,WGS,Homo sapiens
SRR25052212,WGS,gut metagenome
SRR13102923,WGS,mouse gut metagenome
ERR4096564,WGS,chicken gut metagenome
ERR2241819,WGS,metagenome
SRR14944334,WGS,mouse gut metagenome
SRR20730949,WGS,Bacteroidota
SRR6323302,WGS,chicken gut metagenome
SRR16123787,WGS,air metagenome
SRR20950705,WGS,metagenome
SRR17182832,WGS,metagenome
SRR15970579,OTHER,rat gut metagenome
SRR26926579,WGS,chicken gut metagenome
SRR26940236,WGS,metagenome
SRR4425703,OTHER,feces metagenome
SRR31063362,WGS,mouse gut metagenome
ERR6760070,WGS,Mus musculus
SRR29291235,WGS,gut metagenome
SRR25204154,WGS,Mus musculus
SRR26717833,WGS,chicken gut metagenome
SRR29291444,WGS,gut metagenome
ERR899280,WGS,Mus musculus
ERR4368120,WGS,mouse gut metagenome
SRR18464289,WGS,rat gut metagenome
SRR13921775,WGS,mouse gut metagenome
ERR1915717,WGS,bacterium
SRR5574496,WGS,mouse gut metagenome
ERR4303158,WGS,mixed sample
SRR27114621,WGS,chicken gut metagenome
ERR6760097,WGS,Mus musculus
ERR3153784,WGS,human gut metagenome
ERR4096274,WGS,chicken gut metagenome
SRR30218846,WGS,mouse gut metagenome
SRR25052204,WGS,gut metagenome
SRR20950776,WGS,metagenome
DRR121587,WGS,mouse gut metagenome
DRR121532,WGS,mouse gut metagenome
ERR4368108,WGS,mouse gut metagenome
ERR12355575,WGS,Macaca mulatta
ERR4368215,WGS,mouse gut metagenome
SRR14369271,WGS,pig gut metagenome
ERR4368999,WGS,mouse gut metagenome
SRR26681979,WGS,Mus musculus
SRR5927697,WGS,mouse gut metagenome
SRR13089962,WGS,metagenome
SRR31203370,WGS,mouse gut metagenome
SRR17182774,WGS,metagenome
SRR27114620,WGS,chicken gut metagenome
SRR6323169,WGS,chicken gut metagenome
SRR25919503,ChIP-Seq,wastewater metagenome
SRR20950847,WGS,metagenome
SRR19599925,WGS,Murine mastadenovirus B
SRR17907522,WGS,mouse gut metagenome
SRR30883627,WGS,metagenome
ERR260176,WGS,human metagenome
SRR26681983,WGS,Mus musculus
ERR4096574,WGS,chicken gut metagenome
ERR2497915,WGS,mouse gut metagenome
ERR4367182,WGS,mouse gut metagenome
SRR23005525,WGS,compost metagenome
SRR15633997,WGS,gut metagenome
SRR18464304,WGS,rat gut metagenome
ERR3199623,WGS,metagenome
ERR3199537,WGS,metagenome
ERR4096285,WGS,chicken gut metagenome
ERR6769660,WGS,chicken gut metagenome
SRR27911163,OTHER,anaerobic digester metagenome
SRR17071694,OTHER,mouse gut metagenome
SRR15970536,OTHER,rat gut metagenome
SRR25204242,WGS,Mus musculus
ERR969518,WGS,Mus musculus
SRR14721816,WGS,metagenome
SRR15091693,WGS,mouse gut metagenome
SRR4425677,OTHER,feces metagenome
ERR6785288,WGS,chicken gut metagenome
SRR20950772,WGS,metagenome
SRR26717862,WGS,chicken gut metagenome
SRR9052928,WGS,mouse gut metagenome
ERR3199679,WGS,metagenome
ERR4833673,WGS,metagenome
SRR20930592,WGS,Mus musculus
SRR30517262,OTHER,mouse gut metagenome
SRR23918725,WGS,chicken gut metagenome
SRR21289069,WGS,chicken gut metagenome
ERR1974359,WGS,metagenome
SRR20853681,OTHER,feces metagenome
SRR21588794,WGS,metagenome
SRR26926499,WGS,chicken gut metagenome
ERR12355559,WGS,Macaca mulatta
ERR4128904,WGS,mouse gut metagenome
ERR6769700,WGS,chicken gut metagenome
SRR26926485,WGS,chicken gut metagenome
SRR5190224,WGS,bovine gut metagenome
ERR6760110,WGS,Mus musculus
SRR26560435,WGS,Mus musculus
SRR25204205,WGS,Mus musculus
SRR28039994,OTHER,gut metagenome
ERR6769648,WGS,chicken gut metagenome
SRR9018564,WGS,gut metagenome
SRR6323353,WGS,chicken gut metagenome
SRR29291497,WGS,gut metagenome
ERR4093752,WGS,mouse gut metagenome
ERR4369644,WGS,mouse gut metagenome
ERR4369803,WGS,mouse gut metagenome
SRR18243786,WGS,mouse gut metagenome
ERR6769657,WGS,chicken gut metagenome
SRR20950802,WGS,metagenome
SRR29291020,WGS,gut metagenome
SRR14695931,WGS,feces metagenome
DRR121550,WGS,mouse gut metagenome
ERR7438504,WGS,Rinodina peloleuca
ERR1916217,WGS,bacterium
ERR4303138,WGS,mixed sample
ERR2241637,WGS,metagenome
SRR14214850,WGS,mouse gut metagenome
SRR22013511,WGS,compost metagenome
SRR13089980,WGS,metagenome
ERR2136665,WGS,gut metagenome
ERR6760061,WGS,Mus musculus
SRR10828608,WGS,feces metagenome
ERR2241805,WGS,metagenome
ERR2241691,WGS,metagenome
SRR17071714,OTHER,mouse gut metagenome
SRR26926566,WGS,chicken gut metagenome
SRR10378030,WGA,chicken gut metagenome
SRR25247124,WGA,human gut metagenome
SRR29855691,WGS,feces metagenome
SRR4096740,WGS,chicken gut metagenome
ERR6760087,WGS,Mus musculus
SRR20950978,WGS,metagenome
ERR3199659,WGS,metagenome
SRR11183345,WGS,pig gut metagenome
SRR26681948,WGS,Mus musculus
SRR20950779,WGS,metagenome
SRR29218541,WGS,pig gut metagenome
ERR4368195,WGS,mouse gut metagenome
ERR4369968,WGS,mouse gut metagenome
SRR16971254,OTHER,gut metagenome
ERR6769771,WGS,chicken gut metagenome
ERR10360723,RNA-Seq,Mus musculus
ERR1914423,WGS,bacterium
ERR4371375,WGS,mouse gut metagenome
ERR4096463,WGS,chicken gut metagenome
ERR4096428,WGS,chicken gut metagenome
SRR20950980,WGS,metagenome
SRR25204198,WGS,Mus musculus
ERR4371022,WGS,mouse gut metagenome
SRR15803450,WGS,metagenome
ERR1913689,WGS,bacterium
SRR24098239,OTHER,chicken gut metagenome
ERR4183460,WGS,Canis lupus familiaris
SRR30977711,WGS,chicken gut metagenome
ERR7159432,WGS,metagenome
SRR9205159,WGS,mouse metagenome
SRR27783178,WGS,gut metagenome
ERR2167898,WGS,gut metagenome
ERR6823361,WGS,Gallus gallus
SRR22185774,WGS,gut metagenome
ERR1915948,WGS,bacterium
ERR2241890,WGS,metagenome
SRR22378366,WGS,mouse gut metagenome
SRR22221990,WGS,bovine gut metagenome
ERR3199589,WGS,metagenome
SRR29291669,WGS,gut metagenome
SRR16632751,WGS,mouse gut metagenome
SRR17464416,WGS,metagenome
SRR17907525,WGS,mouse gut metagenome
SRR20950870,WGS,metagenome
SRR31127875,WGS,bovine gut metagenome
ERR12355591,WGS,Macaca mulatta
ERR4371438,WGS,mouse gut metagenome
ERR2241897,WGS,metagenome
SRR16350204,WGS,mouse gut metagenome
SRR11489755,WGS,pig gut metagenome
SRR9201479,WGS,gut metagenome
SRR15970552,OTHER,rat gut metagenome
SRR17182828,WGS,metagenome
SRR30359173,WGS,Gallus gallus
ERR5163991,WGS,mouse gut metagenome
SRR31127809,WGS,bovine gut metagenome
SRR20950896,WGS,metagenome
SRR21034877,WGS,pig gut metagenome
ERR12355466,WGS,Macaca mulatta
DRR171505,WGS,human gut metagenome
SRR11125679,WGS,pig gut metagenome
ERR4368210,WGS,mouse gut metagenome
ERR1915097,WGS,bacterium
ERR2505801,WGS,metagenome
SRR29291030,WGS,gut metagenome
ERR3199694,WGS,metagenome
ERR3414585,WGS,metagenome
ERR4367459,WGS,mouse gut metagenome
SRR17182788,WGS,metagenome
ERR2026042,WGS,metagenome
SRR3184554,WGS,biogas fermenter metagenome
ERR3357541,WGS,mouse gut metagenome
ERR1725832,WGS,Mus musculus
SRR13385228,WGS,mouse gut metagenome
SRR26940239,WGS,metagenome
ERR4368396,WGS,mouse gut metagenome
SRR26681966,WGS,Mus musculus
ERR4836956,WGS,chicken gut metagenome
SRR12795781,WGS,pig gut metagenome
SRR31157428,WGS,Bifidobacterium
SRR13795678,WGS,metagenome
ERR4370529,WGS,mouse gut metagenome
SRR14087732,OTHER,feces metagenome
SRR8638172,WGS,gut metagenome
SRR3536231,WGS,dust metagenome
ERR2241788,WGS,metagenome
SRR15145233,WGS,gut metagenome
ERR4368500,WGS,mouse gut metagenome
SRR27143248,WGS,gut metagenome
SRR29766214,WGS,Pseudomonadota
SRR25204241,WGS,Mus musculus
ERR1915911,WGS,bacterium
SRR25052240,WGS,gut metagenome
SRR16379931,WGS,bioreactor sludge metagenome
SRR24164681,WGS,gut metagenome
SRR19633711,WGS,gut metagenome
SRR9052923,WGS,mouse gut metagenome
DRR121527,WGS,mouse gut metagenome
SRR13392922,WGS,human gut metagenome
SRR19759436,WGS,Mus musculus
ERR4304505,WGS,mixed sample
SRR22508355,WGS,beach sand metagenome
SRR17071695,OTHER,mouse gut metagenome
SRR19792984,WGS,mouse gut metagenome
SRR20950656,WGS,metagenome
SRR26903482,WGS,bovine metagenome
SRR6338732,WGS,rat gut metagenome
SRR16894866,WGS,feces metagenome
DRR121578,WGS,mouse gut metagenome
ERR4369566,WGS,mouse gut metagenome
ERR2241850,WGS,metagenome
SRR14721843,WGS,metagenome
ERR4370981,WGS,mouse gut metagenome
ERR6823341,WGS,Gallus gallus
ERR5415064,WGA,Mus musculus
SRR29291044,WGS,gut metagenome
SRR15604543,WGS,feces metagenome
SRR6323303,WGS,chicken gut metagenome
SRR26681981,WGS,Mus musculus
SRR26560443,WGS,Mus musculus
SRR23153009,WGS,gut metagenome
SRR26926575,WGS,chicken gut metagenome
ERR12355514,WGS,Macaca mulatta
SRR29971854,WGS,mouse gut metagenome
SRR20792777,OTHER,gut metagenome
ERR4793841,WGS,mouse gut metagenome
ERR2241921,WGS,metagenome
SRR7702475,WGS,mouse gut metagenome
SRR29291616,WGS,gut metagenome
ERR4095816,WGS,mouse gut metagenome
SRR29291645,WGS,gut metagenome
SRR29291591,WGS,gut metagenome
ERR4081990,WGS,mouse gut metagenome
SRR31063356,WGS,mouse gut metagenome
SRR18352866,OTHER,compost metagenome
SRR19185095,WGS,Actinomycetota
SRR26926512,WGS,chicken gut metagenome
SRR14862903,WGS,mouse gut metagenome
SRR16894843,WGS,feces metagenome
SRR24555993,WGS,metagenome
ERR10609969,WGS,metagenome
SRR14298725,RNA-Seq,Protaetia brevitarsis
ERR4369534,WGS,mouse gut metagenome
SRR24889467,OTHER,mouse gut metagenome
SRR22579501,OTHER,gut metagenome
SRR23946423,WGS,gut metagenome
ERR12355582,WGS,Macaca mulatta
SRR1702559,WGS,rat gut metagenome
SRR17071697,OTHER,mouse gut metagenome
ERR6910956,WGS,Homo sapiens
SRR28581586,WGS,Alistipes
SRR6323095,WGS,chicken gut metagenome
ERR11768985,WGS,clothing metagenome
ERR3414582,WGS,metagenome
ERR4370862,WGS,mouse gut metagenome
ERR4647693,WGS,mixed sample
SRR23918709,WGS,chicken gut metagenome
SRR20950799,WGS,metagenome
SRR26717857,WGS,chicken gut metagenome
SRR23911017,WGS,feces metagenome
SRR19759481,WGS,Mus musculus
SRR29185102,OTHER,feces metagenome
ERR3199608,WGS,metagenome
ERR6769723,WGS,chicken gut metagenome
SRR17774848,RNA-Seq,gut metagenome
ERR12355472,WGS,Macaca mulatta
SRR26903504,WGS,bovine metagenome
ERR4371267,WGS,mouse gut metagenome
SRR29731391,WGS,mouse gut metagenome
ERR9250099,WGS,Homo sapiens
ERR6769764,WGS,chicken gut metagenome
ERR12355470,WGS,Macaca mulatta
SRR27783215,WGS,gut metagenome
SRR26926496,WGS,chicken gut metagenome
SRR15604578,WGS,feces metagenome
SRR20792806,OTHER,gut metagenome
SRR16945620,WGS,feces metagenome
SRR26717865,WGS,chicken gut metagenome
SRR6323370,WGS,chicken gut metagenome
SRR29291396,WGS,gut metagenome
SRR29844800,WGS,rat gut metagenome
ERR2026934,WGS,Rattus norvegicus
ERR6760072,WGS,Mus musculus
ERR11768962,WGS,poultry litter metagenome
ERR479155,WGS,Homo sapiens
ERR7438501,WGS,Rinodina peloleuca
ERR2241696,WGS,metagenome
SRR12829153,WGS,synthetic metagenome
ERR11564843,WGS,human gut metagenome
SRR19064524,WGS,human gut metagenome
SRR29291628,WGS,gut metagenome
ERR12355467,WGS,Macaca mulatta
SRR25204188,WGS,Mus musculus
ERR6748700,WGS,chicken gut metagenome
SRR13089979,WGS,metagenome
SRR11184032,WGS,pig gut metagenome
ERR6769638,WGS,chicken gut metagenome
SRR11482375,WGS,dust metagenome
SRR26937437,WGS,compost metagenome
SRR17907529,WGS,mouse gut metagenome
SRR6825905,WGS,chicken gut metagenome
SRR31063347,WGS,mouse gut metagenome
ERR12355537,WGS,Macaca mulatta
SRR14944323,WGS,mouse gut metagenome
ERR6769753,WGS,chicken gut metagenome
SRR13102907,WGS,mouse gut metagenome
SRR13089971,WGS,metagenome
ERR9610041,WGS,chicken gut metagenome
SRR18654542,WGS,compost metagenome
SRR21430474,WGS,Ruminococcus sp.
ERR4093789,WGS,mouse gut metagenome
SRR28039976,OTHER,gut metagenome
ERR12355496,WGS,Macaca mulatta
SRR19777174,WGS,human gut metagenome
SRR22185770,WGS,gut metagenome
ERR3199561,WGS,metagenome
SRR19906125,WGS,pig metagenome
SRR23918778,WGS,chicken gut metagenome
SRR27143223,WGS,gut metagenome
SRR31320894,WGS,gut metagenome
ERR4096507,WGS,chicken gut metagenome
SRR19759462,WGS,Mus musculus
SRR19759414,WGS,Mus musculus
SRR25204191,WGS,Mus musculus
ERR11768929,WGS,poultry litter metagenome
ERR479154,WGS,Homo sapiens
ERR4832657,WGS,metagenome
SRR5190223,WGS,bovine gut metagenome
ERR1914164,WGS,bacterium
SRR9897405,WGA,gut metagenome
SRR25083385,WGS,chicken gut metagenome
SRR15970549,OTHER,rat gut metagenome
ERR3199539,WGS,metagenome
ERR3199556,WGS,metagenome
ERR8477244,WGS,gut metagenome
ERR2241860,WGS,metagenome
ERR4371185,WGS,mouse gut metagenome
SRR13089946,WGS,metagenome
ERR7017995,WGS,mouse gut metagenome
SRR14721875,WGS,metagenome
ERR4370957,WGS,mouse gut metagenome
SRR21707396,WGS,feces metagenome
SRR12730737,WGS,chicken gut metagenome
ERR6352014,WGS,chicken gut metagenome
SRR26912602,WGA,mouse gut metagenome
SRR26926583,WGS,chicken gut metagenome
ERR3199596,WGS,metagenome
SRR11126192,WGS,pig gut metagenome
SRR22359501,Targeted-Capture,bovine metagenome
ERR1916207,WGS,bacterium
ERR6769734,WGS,chicken gut metagenome
SRR16264865,WGS,feces metagenome
SRR21431846,WGS,gut metagenome
SRR14167432,OTHER,rat gut metagenome
SRR13741610,WGS,mouse gut metagenome
SRR14721830,WGS,metagenome
ERR4369686,WGS,mouse gut metagenome
SRR20852430,WGS,Mus musculus
ERR2241739,WGS,metagenome
SRR19732514,WGS,chicken gut metagenome
SRR13089940,WGS,metagenome
ERR4398725,WGS,feces metagenome
SRR6474909,OTHER,microbial mat metagenome
SRR18079130,RNA-Seq,gut metagenome
ERR2241655,WGS,metagenome
SRR5190216,WGS,bovine gut metagenome
ERR6785300,WGS,chicken gut metagenome
ERR4371826,WGS,mouse gut metagenome
SRR17907433,WGS,mouse gut metagenome
ERR2241925,WGS,metagenome
ERR4371063,WGS,mouse gut metagenome
SRR14944311,WGS,mouse gut metagenome
ERR6769732,WGS,chicken gut metagenome
SRR23946407,WGS,gut metagenome
SRR29291547,WGS,gut metagenome
SRR29217075,WGS,mouse gut metagenome
SRR19505506,WGS,bovine gut metagenome
ERR4096264,WGS,chicken gut metagenome
ERR10360713,RNA-Seq,Mus musculus
SRR6032578,WGS,mouse gut metagenome
SRR22319384,WGS,feces metagenome
ERR11768808,WGS,poultry litter metagenome
SRR20950905,WGS,metagenome
SRR6032585,WGS,mouse gut metagenome
ERR5032006,WGS,feces metagenome
SRR20792835,OTHER,gut metagenome
ERR6823363,WGS,Gallus gallus
ERR6769784,WGS,chicken gut metagenome
SRR26689736,OTHER,mouse metagenome
ERR1725837,WGS,Mus musculus
SRR18845116,WGS,human gut metagenome
SRR15604546,WGS,feces metagenome
ERR4368325,WGS,mouse gut metagenome
ERR1913690,WGS,bacterium
ERR2241653,WGS,metagenome
SRR31157441,WGS,Bifidobacterium
DRR121524,WGS,mouse gut metagenome
SRR27976902,OTHER,gut metagenome
ERR1915702,WGS,bacterium
ERR1915697,WGS,bacterium
SRR10822043,WGS,metagenome
SRR17156948,WGS,mouse gut metagenome
ERR2026931,WGS,Rattus norvegicus
ERR4993382,WGS,chicken gut metagenome
SRR6323531,WGS,chicken gut metagenome
ERR2241628,WGS,metagenome
ERR4370863,WGS,mouse gut metagenome
ERR4367750,WGS,mouse gut metagenome
SRR13089973,WGS,metagenome
SRR15970551,OTHER,rat gut metagenome
SRR15970560,OTHER,rat gut metagenome
ERR4369846,WGS,mouse gut metagenome
SRR19759404,WGS,Mus musculus
SRR23203970,OTHER,gut metagenome
SRR15970514,OTHER,rat gut metagenome
SRR26912695,WGA,mouse gut metagenome
SRR26926528,WGS,chicken gut metagenome
SRR13440551,WGS,rat gut metagenome
SRR20718658,WGS,mouse gut metagenome
ERR7438502,WGS,Rinodina peloleuca
SRR17464397,WGS,metagenome
SRR26689732,OTHER,mouse metagenome
SRR25957033,WGS,canine metagenome
ERR1913630,WGS,bacterium
SRR7638730,WGS,feces metagenome
SRR20950952,WGS,metagenome
SRR19134796,WGS,feces metagenome
SRR22221983,WGS,bovine gut metagenome
SRR25204215,WGS,Mus musculus
SRR19759457,WGS,Mus musculus
DRR121548,WGS,mouse gut metagenome
ERR6355354,WGS,chicken gut metagenome
SRR13440541,WGS,rat gut metagenome
SRR14211378,RNA-Seq,Protaetia brevitarsis
SRR8198117,WGS,pig metagenome
ERR4371387,WGS,mouse gut metagenome
SRR19759469,WGS,Mus musculus
SRR30941454,WGS,chicken gut metagenome
SRR15129790,WGS,mouse gut metagenome
ERR11768903,WGS,poultry litter metagenome
SRR19064895,WGS,human gut metagenome
ERR6807394,WGS,chicken gut metagenome
SRR13790625,WGS,metagenome
SRR21034871,WGS,pig gut metagenome
SRR21392043,WGS,rat gut metagenome
SRR31127842,WGS,bovine gut metagenome
SRR6323451,WGS,chicken gut metagenome
ERR6844497,WGS,gut metagenome
ERR4371016,WGS,mouse gut metagenome
ERR4371284,WGS,mouse gut metagenome
SRR30359185,WGS,Gallus gallus
ERR4096638,WGS,chicken gut metagenome
SRR17182822,WGS,metagenome
ERR1915261,WGS,bacterium
ERR2241756,WGS,metagenome
SRR23918741,WGS,chicken gut metagenome
ERR4096426,WGS,chicken gut metagenome
SRR27143247,WGS,gut metagenome
SRR21615065,WGS,Bacteroides fragilis
ERR3357587,WGS,mouse gut metagenome
ERR4368131,WGS,mouse gut metagenome
ERR4096605,WGS,chicken gut metagenome
SRR23946420,WGS,gut metagenome
SRR29731396,WGS,mouse gut metagenome
ERR1914841,WGS,bacterium
ERR4091799,WGS,mouse gut metagenome
ERR6823356,WGS,Gallus gallus
ERR7167036,WGS,chicken gut metagenome
SRR24155008,WGS,gut metagenome
SRR11482371,WGS,dust metagenome
ERR6760060,WGS,Mus musculus
ERR1915593,WGS,bacterium
ERR7130526,WGS,metagenome
SRR17464395,WGS,metagenome
SRR13089960,WGS,metagenome
ERR11768919,WGS,poultry litter metagenome
ERR4371857,WGS,mouse gut metagenome
SRR25957076,WGS,canine metagenome
ERR7130449,WGS,metagenome
SRR5056750,WGS,human gut metagenome
ERR2241815,WGS,metagenome
SRR26926555,WGS,chicken gut metagenome
ERR3199531,WGS,metagenome
ERR6355373,WGS,chicken gut metagenome
DRR300050,WGS,primate metagenome
SRR29291541,WGS,gut metagenome
SRR27143231,WGS,gut metagenome
SRR9113691,WGS,chicken gut metagenome
SRR31063348,WGS,mouse gut metagenome
SRR13089953,WGS,metagenome
SRR16894739,WGS,feces metagenome
ERR2026373,WGS,metagenome
ERR10609970,WGS,metagenome
SRR12833180,WGS,Rattus norvegicus
SRR19759407,WGS,Mus musculus
SRR27999963,OTHER,gut metagenome
ERR2752427,WGS,feces metagenome
SRR26926517,WGS,chicken gut metagenome
SRR14253238,WGS,gut metagenome
SRR27114633,WGS,chicken gut metagenome
ERR6844499,WGS,gut metagenome
ERR1725821,WGS,Mus musculus
SRR26458538,WGS,dust metagenome
SRR29217107,WGS,mouse gut metagenome
SRR15091685,WGS,mouse gut metagenome
SRR25204201,WGS,Mus musculus
ERR1914852,WGS,bacterium
ERR4836964,WGS,chicken gut metagenome
SRR27114628,WGS,chicken gut metagenome
SRR11124686,WGS,pig gut metagenome
SRR18464293,WGS,rat gut metagenome
ERR4096576,WGS,chicken gut metagenome
ERR2241692,WGS,metagenome
SRR17442709,WGS,metagenome
SRR22185786,WGS,gut metagenome
ERR580849,OTHER,Mus musculus
ERR6769635,WGS,chicken gut metagenome
SRR26458533,WGS,dust metagenome
SRR14721878,WGS,metagenome
ERR11768855,WGS,poultry litter metagenome
ERR4832142,WGS,metagenome
